"entry","location","limitedScan","logbook entry","temporary scan","category",
"Hunter Rundas ","Norion - Tower Elevator, Bryyo - Crash Site","Yes","Rundas is capable of generating and manipulating ice. This trait is common among inhabitants of the moon Phrygis, but Rundas is one of the few who have used this ability for bounty hunting. Subject is known for getting results, but considers himself without peer. His arrogant demeanor has led him to mainly seek solo missions, and he rarely works well with others.","Hunter Rundas. Possesses the ability to generate and manipulate ice.","Galactic Federation",
"Male Fleet Trooper ","GFS Olympus, Norion - Generator A",,"Fleet Troopers are the backbone of the navy, often ignored in favor of the gallant Federation Marines. Their work isn't always dangerous, and is rarely glamorous. Most are specialists, and possess a great deal of knowledge.","Morphology: Female Fleet Trooper. Federation Navy specialists. Untrained for combat situations.","Galactic Federation",
"Training Drone ","GFS Olympus - Docking Bay 5","Yes","The Training Drone is used in all branches of the GF military. They are designed to improve hand-eye coordination and accuracy. One popular training exercise is to score as many consecutive hits on a drone as possible. Gambling on shooting contests involving Training Drones is often frowned upon, but fairly popular throughout the GF armed forces.","Mechanoid: Training Drone. Used by GF military forces as targets in weapons training.","Galactic Federation",
"Alpha Hopper ","Gateway Hall","Yes","Alpha Hoppers are characterized by their unique color and durable hide. They are highly territorial and will attack any creature who wanders too close to their nests. When hunting in packs, they will often keep their distance while others move in to attack at close range. Like all Hoppers, their legs end in sharp talons and can be used to shred through any prey that gets close enough.","Morphology: Alpha Hopper. Spits venom at prey from a distance. Uses talons in close-range battle.","Bryyo",
"Atomic ","GFS Theseus, North Jungle Hall, GFS Valhalla - Xenoresearch Lab",,"Atomics are creatures composed entirely of energy. A strong energy blast is adequate to destabilize the Atomic and cause it to explode. They are sustained by their core, which generates a constant supply of electricity. When an abundance of energy has been produced, the Atomic will discharge a section of its body in the form of an explosive projectile. When near sources of energy of an opposite polarization, the Atomic will respond aggressively.","Morphology: Atomic. Corporeal energy that sloughs explosive segments of its form.","Bryyo",
"Bryyonian Shriekbat",,,"One of the many types of Shriekbats found across the solar system, the Bryyonian Shriekbat behaves similar to all of its cousins. Shriekbats will nest in small groups and make their home in a sheltered environments. Dwelling on the top of caverns and ruins, the Shriekbat will hunt nearby insects and small creatures for food. Once a nesting area has been found, it will be fiercely protected from any intruder. The territorial Shriekbat will dive-bomb any creature that wanders too close, no matter what the size.","Morphology: Bryyonian Shriekbat. Aggressive ceiling dweller that dive-bombs approaching organisms.","Bryyo",
"Fargul Hatcher ","Hall of the Golems",,"Within the Fargul Hatcher's maw is an organ cluster that is vulnerable to attack, but only when exposed. Fargul Hatchers are capable of giving birth to dozens of young in a matter of moments. These offspring will immediately swarm in on any nearby attacker. Their skin is incredibly resilient and will deflect most weapon fire.","Morphology: Fargul Hatcher. Able to jam incoming Missiles. Mouth is vulnerable to attack.","Bryyo",
"Fargul Wasp ","Hall of the Golems",,"Fargul Wasps are highly protective of their parent Hatcher. Even moments after birth, they will swarm together and attack any nearby organism. They are often used as a defense mechanism by the Fargul Hatcher, and as a result, few live to adulthood.","Morphology: Fargul Wasp. Protective of parent bioform. Capable of self-detonation.","Bryyo",
"Geemer ","Reliquary III",,"The spiked shell of a Geemer is rather durable and can only be destroyed by an explosive blast. While menacing in appearance, they are nonaggressive scavengers that feed on the waste of other creatures. This food source has led to them being spreaders of many types of diseases.","Morphology: Geemer. Nonaggressive bioform. Avoid contact with spiked shell.","Bryyo",
"Gelbug ","Temple Access",,"Gelbugs are roaming insects encased in organic Phazite. These cavern dwelling bugs have come to rely on Fuel Gel as a source of sustenance. Over time their shells have become saturated and crystallized with Fuel Gel. As a result, their bodies have become highly unstable. Weapon fire will disrupt the gel and cause the creature to detonate.","Morphology: Gelbug. Phazite shell infused with Fuel Gel. Explodes when shot.","Bryyo",
"Gel Puffer",,,"The exposure to Fuel Gel has left the shell of the Gel Puffer highly susceptible to weapon fire. Gel Puffers have come to rely on the toxic vapors given off by Fuel Gel for sustenance. They process these gasses and then expel the excess to stay afloat. The brittle shell of the Puffer, while durable in appearance, is rather thin and easily damaged.","Morphology: Gel Puffer. Consumes and emits Fuel Gel fumes. Explodes when ruptured.","Bryyo",
"Gel Ray ","Gel Hall, Temple Reservoir",,"Gel Rays are nonaggressive bioforms native to Bryyo. They are one of the few creatures who make their home within the caustic pools of Fuel Gel. The unique exterior and shape of the Gel Ray allow it to withstand and glide through rivers of gel. Their main source of sustenance is small organisms that exist within Fuel Gel, but they are known to occasionally leap out to feed on insects that fly near the gel's surface.","Morphology: Gel Ray. Passive bioform native to Bryyo. Lives within pools of Fuel Gel.","Bryyo",
"Gragnol",,,"Gragnols are vulnerable to most weapons, as they have not developed the durable exoskeleton found on adult members of the species. They often travel and attack in groups. If they sense a nearby threat to their hives, they will not hesitate to advance. Their offensive capabilities are underdeveloped, leaving the ability to fire energy pulses of Phazon energy their only form of attack.","Morphology: Gragnol. Lack of exoskeleton makes it agile but weak to most weapons.","Bryyo",
"Gragnol Adult",,,"The large tail that characterizes Gragnol Adults is also their weakness: if pulled with enough force, it will tear them apart. An explosive blast will temporarily incapacitate them, making them easier to target. They possess the ability to generate an energy shield around their bodies, preventing Beam shots from damaging them. They are cunning predators, flying through their turf in search of unwary prey. They use bursts of Phazon energy to overwhelm their targets, and then swoop down to finish them. Maturity has provided them with a very durable exoskeleton.","Morphology: Gragnol Adult. Resistant to most weaponry. Physical stress can destroy it.","Bryyo",
"Hopper",,,"These aggressive insectoids use small hops to get within striking distance and then pounce, using their talons to tear away at their prey. From a distance they will fire bursts of venom at their target. Despite their aggressive nature, they are somewhat fragile and can be easily dispatched. Because of this they will commonly hunt in packs.","Morphology: Hopper. Attacks with razor-sharp talons. Pounces from a distance.","Bryyo",
"Korba ","Hillside Vista",,"The Korba is a vicious, resilient bioform. It prefers to lurk above its hunting grounds, waiting for prey. The Korba relies on the smaller Snatchers to levitate victims to a point where the Korba can devour them. What the Korba cannot digest, it expels to feed the Snatchers. This symbiotic relationship works well for both Korba and Snatchers.","Morphology: Korba. Works with Snatchers to feed. Vulnerable to concussive blasts.","Bryyo",
"Nightbarb",,,"Nightbarbs are predators, traveling in packs to search for prey. They have the ability to generate a protective field of energy around their bodies. The ability is unstable, however. If the field makes contact with another life force, it will overload. This also consumes the life force of the Nightbarb, much like a bee's sting ends its life.","Morphology: Nightbarb. Generates protective energy field. Contact with field is dangerous.","Bryyo",
"Reptilicus",,,"Scans indicate a mutation that allows the Reptilicus to teleport over short distances. Commonly used as a combat tactic to corner and trap their prey. The Reptilicus appears to suffer from Phazon corruption, and all higher thought processes have been replaced by savage bloodlust. This corruption has also increased their resistance to heat-based attacks and Fuel Gel.","Morphology: Reptilicus. Teleports across short distances. Highly aggressive and territorial.","Bryyo",
"Reptilicus Hunter ","Clffside Airdock, Grand Court, Hangar Bay","Yes","Phazon corruption has granted Reptilicus Hunters the ability of cloaking themselves. They use this to their advantage and will hide or move positions while cloaked to gain the upper hand in combat. Reptilicus Hunters are fairly organized despite their primitive nature. Usually attacking in small groups, they patiently wait for their prey to become isolated in a locked area before attacking. Their weaponry consists of an energy whip for close-range assaults and a throwing chakram for long-ranged attacks. They have adapted to the harsh climates of Bryyo, and are quite resistant to Fuel Gel and heat-based attacks.","Morphology: Reptilicus Hunter. Target can generate a personal cloaking field around its body.","Bryyo",
"Scorchbug",,,"Scorchbugs are exclusively found on Fuel Gel-producing planets such as Bryyo. The tiny insects subsist entirely on the volatile gel. Like many creatures with this diet, they have taken on the ignitable characteristics of their food source. When shot with any type of weaponry, they burst into a small explosion, leaving behind only a scorch mark. It is from this trait that they have earned their name.","Morphology: Scorchbug. Tiny insects that feed on Fuel Gel. Explode when shot.","Bryyo",
"Shelbug",,,"Shelbugs are slow-moving roaming insects whose soft bodies are easily damaged. Until they reach maturity they will not develop their Phazite shell. Unable to retract into a shell to avoid damage, they must aggressively attack any potential threat. They will extend sharp spines to fend off attackers or propel these spines at enemies.","Morphology: Shelbug. Attacks by firing Phazon spines. Soft body is vulnerable to attack.","Bryyo",
"Snatcher ","Hillside Vista",,"Snatchers are cunning, albeit weak, bioforms. Unable to kill most prey on their own, they rely on the stronger Korba to do the work for them. Snatchers will swarm onto a target until it is overwhelmed. Once they have their prey, they use their powers to levitate the victim to a point where the Korba can devour them. What the Korba cannot digest, it expels to feed the Snatchers. This symbiotic relationship works well for both Snatchers and the Korba.","Morphology: Snatcher. Works with a Korba to feed. Vulnerable to concussive blasts.","Bryyo",
"Warp Hound ","Gel Processing Site, Hidden Court, Hangar Bay, Temple of Bryyo",,"Warp Hounds are susceptible to low-temperature attacks, due to the nature of their thermal-energy-driven biosystem. They are often used by Reptilicus as guards and hunt beasts. They consume Fuel Gel to survive, and can expel blasts of converted thermal energy to attack and defend. The creatures can teleport over short distances, disrupting many forms of electronic targeting in the process.","Morphology: Warp Hound. Teleports over short distances. Vulnerable to cold-based attacks.","Bryyo",
"Aerial Repair Drone",,,"An evolved version of the ground units, these drones were designed to perform basic maintenance and repair tasks. Their small size and flight capabilities allow them access to the hardest-to-reach areas of SkyTown. Repair drones are manufactured and activated every 200 years, with the previous units being recycled for construction materials.","Mechanoid: Aerial Repair Drone. Automated maintenance bot. Initial activation 132.8 years ago.","SkyTown",
"Databot",,,"Databots were designed by the Elysians as a means to record and pass on historical data. They patrol along their set area until disrupted, and then project a holographic datafile. However, only those equipped with Chozo-based visor technology can access this information.","Mechanoid: Databot. Used to store historical data. Shoot to access information.","SkyTown",
"""Dragoon"" Battle Drone",,,"The 'Dragoon' Battle Drone is a resilient foe, but the thruster controls of the unit are vulnerable and can be easily ripped off. Originally designed to keep local aerial bioforms away from delicate instruments, the 'Dragoon' is now used in a combat role. It carries twin Rocket Pods for offense. Durable armor and a Missile-jamming system help keep the unit safe.","Mechanoid: ""Dragoon"" Battle Drone. Outer armor is tough, but thruster control could be easily ripped off.","SkyTown",
"Elysian Shriekbat ","Main Docking Access, Construction Bay",,"Like all Shriekbats, the Elysian Shriekbat will dive-bomb any creature that wanders too close and detonate on contact. However, they are not actual creatures, but machines made to mimic their real-life counterparts. Designed centuries ago, their original purpose is unknown. They now roam the hovering facilities over Elysia, often in small flocks.","Mechanoid: Elysian Shriekbat. Mechanical variant of a Shriekbat that will explode on contact.","SkyTown",
"Repair Drone",,,"The original version of the Elysian Repair Drone. Because of their limited movement systems, these units quickly proved to be insufficient in performing the necessary maintenance duties. Used as a base design, the aerial model was created to address all flaws with the original version. Made obsolete by the aerial model, all production and manufacturing was halted over 150 years ago. Only a handful of these units remain active.","Mechanoid: Repair Drone. Ground-based automated drone once used for maintenance.","SkyTown",
"Sky Puffer",,,"The external shell of the Sky Puffer is incredibly fragile, susceptible to most small arms fire. Only a few shots from basic weapons can damage it. Sky Puffers are native to the planet Elysia. They feed on the various noxious gasses in the atmosphere. They are especially fond of Phazon gas.","Morphology: Sky Puffer. Vulnerable to basic weaponry. Consumes and emits deadly gases.","SkyTown",
"Steambot ","Steambot Barracks, Skybridge Hera, Ballista Storage","Yes","The Steambot's lightly armored exterior can be damaged by any weapon. High-temperature weapons are particularly effective, and can render them inert and beyond repair. Unlike their lightweight cousins, they are made of durable metals and cannot be tossed around. Steambots serve as combat units for Steamlords. They are armed with kinetic-beam pistols, Missile racks, and can use their tool-arms in close combat. Damaged units can be repaired by Steamlords.","Mechanoid: Steambot. Lightly armed and armored. Rendered inert by hi-temp hits.","SkyTown",
"Steamspider",,,"Steamspiders were created by the Steamlords as basic light laborers. They have since went rogue, and now run wild in SkyTown. Though of minimal threat alone, a swarm of them can be a nuisance.","Mechanoid: Steamspider. Tiny labor mechanoids. Threat index minimal.","SkyTown",
"Swarmbot",,,"Swarmbots tend to travel in groups. They can evade many inbound attacks, and can perform aerial maneuvers that make them nearly impossible to damage. They can generate pulses of energy to damage or disrupt enemy targets. As a desperate measure, they will perform suicide runs on an enemy.","Mechanoid: Swarmbot. Nimble flyer can break lock-on. Generates pulse attacks.","SkyTown",
"Tinbot",,,"Tinbots are made from a lightweight metal and can easily be knocked around from explosions or high-speed impacts. This metal is also quite vulnerable to heat and can be melted by high-temperature weapons. Converted for security duty, the Tinbots now patrol SkyTown tirelessly. They are armed with kinetic-beam pistols and can use their tool-arms in close combat.","Mechanoid: Tinbot. Lightweight android that is easily knocked down.","SkyTown",
"Transportation Drone ","Main Docking Bay, Piston Hall",,"Class D Transportation Drones are used for the distribution of supplies and materials across all of SkyTown. Upon activation each unit is assigned a set position along a transit route that it will use exclusively. The constant upkeep of the facility requires that they continuously deliver their shipments to their destinations at a steady pace.","Mechanoid: Transportation Drone. Transports basic supplies to and from various areas of SkyTown.","SkyTown",
"Hopping Metroid ","Norion - Cargo Dock B, Phaaze - Entry Canyon, Drop Shaft","Yes","Radical mutation has removed the ability to fly from this strain of Metroid, but its vulnerability to cold remains. Subject now uses its powerful legs for locomotion. Legs contain sharp formations of Phazite, which the creature uses to slice through enemy defenses.","Morphology: Hopping Metroid. Uses razor-sharp talons in battle. Susceptible to cold-based attacks.","Phazon",
"Jelsac ","GFS Valhalla, Phaaze",,"Jelsacs are aggressive creatures, roaming their territory and defending it from all comers. When provoked, a Jelsac will begin to expand its body, quickly filling it with a caustic, Phazon-based venom. This continues until the Jelsac explodes, sending a spray of deadly fluid in all directions.","Morphology: Jelsac. Inflates as a defense measure. Can explode and release venom.","Phazon",
"Leviathan Infant ","Phaaze - Genesis Chamber","Yes","Leviathans are the children of Phaaze. They are bioforms that begin life deep within the planet, inside the base of a serpentine organ that serves as a womb. The Leviathan will remain in here, feeding on an endless supply of Phazon, until it has developed its Phazon core. The developed core marks the Leviathan's transition into adolescence and its departure from the womb. The serpentine organ moves the adolescent from deep inside Phaaze and releases it closer to the planet's surface. Here the bioform will continue to grow and mature beneath its older siblings. As time passes and the older ones are launched into space, the Leviathan will slowly make its way to the planet's surface. It is here the Leviathan will reach full maturity. Once Phaaze has located a planetary target to corrupt, it will launch the Leviathan into space. The Leviathan is capable of interstellar travel, creating wormholes in space to expedite the journey. Instinctively, it homes in on its planetary target. Shortly after impact, the bioform dies, leaving its armored shell to protect the Phazon core. Before it dies, the bioform often attracts and enthralls a large local predator. After mutating it through intense Phazon exposure, it compels the creature to protect the core. The core then begins to seep into the planet, replacing the local ecosystem with one based on Phazon.","Morphology: Leviathan Infant. A Leviathan in early development. Phazon within is highly unstable.","Phazon",
"Liquid Phazon ","Norion, GFS Valhalla",,"Liquid Phazon appears to be a semisentient glob of Phazon. Their young are known as Phazon Grubs, and eventually metamorph into their adult, or 'puddle' form. They exude a toxic chemical to protect themselves from predators. Contact with the substance can be deadly. They can alter their shape in a limited fashion, usually to avoid incoming attacks.","Morphology: Liquid Phazon. Spawns Phazon Grubs. Consumes Phazon in any form.","Phazon",
"Miniroid ","GFS Valhalla - Repair Bay, Pirate Homeworld - Metroid Creche, Phaaze",,"Miniroids, tiny and weak, will travel in a flock for protection. They float and fly about in search of sustenance. Those that survive will grow quickly, becoming the feared parasites known throughout the cosmos as Phazon Metroids.","Morphology: Miniroid. Combat rating negligible. Infant has not developed powers.","Phazon",
"Phaazoid ","Bryyo, SkyTown, Pirate Homeworld",,"Phaazoids are masses of Phazon energy that form after a Leviathan has been destroyed. They still retain a small bit of sentience and are mindlessly aggressive. The only way to damage a Phaazoid is by attacking it with Phazon-based attacks. However, this has a side effect of causing the creature to split into two smaller forms. Once the Phaazoid has split small enough, it will simply fly at a target and detonate on contact. It is said that some Phaazoids may split into a rare, crimson-colored form.","Morphology: Phaazoid. Corporeal Phazon energy that is vulnerable to Phazon-based attacks.","Phazon",
"Phaz-Ing ","GFS Valhalla, Phaaze",,"Phaz-Ing bodies are weak to physical stress and can be easily pulled apart. These morphing blobs of Phazon often prefer to stay in puddle form and will only shift out to attack. Their ability to move over all types of terrain allows them to position themselves at a distance before assaulting with bursts of Phazon Energy.","Morphology: Phaz-Ing. Wall-crawling shape-shifter. Vulnerable to physical stress.","Phazon",
"Phazon Grub ","Norion, GFS Valhalla, Pirate Homeworld",,"Phazon Grubs are drawn to bioenergy in all forms, especially Phazon. They are immune to its mutagenic effects, and carry it in their bodies as they roam. Their bite can infect victims with Phazon corruption, making them plague carriers of a sort.","Morphology: Phazon Grub. Drains bioenergy from its victims. Bite can deliver Phazon infection.","Phazon",
"Phazon Hopper ","GFS Valhalla, Phaaze",,"Phazon Hoppers are more resilient than other Hoppers, but can still be damaged by standard weaponry. The crystallized Phazon covering their bodies provides additional protection from attack. Like other Hoppers, these are capable of long-range assaults. They will spit bursts of Phazon venom at prey from a distance.","Morphology: Phazon Hopper. Covered with crystallized Phazon. Spits venom from a distance.","Phazon",
"Phazon Leech ","GFS Valhalla, Elysia Seed - Landing Site C, Pirate Homeworld - Drill Shaft 2",,"Phazon Leeches thrive on the bioenergy drained from weakened and dead prey. They often roam in groups, leaving behind toxic trails as they slide across terrain in search of sustenance. Their bodies are soft and unprotected, making them easy targets to dispatch.","Morphology: Phazon Leech. Nonaggressive scavenger that feeds on wounded and dead bioforms.","Phazon",
"Phazon Metroid ","SkyTown, GFS Valhalla, Pirate Homeworld, Phaaze",,"Like all Metroids, great cold can immobilize the Phazon Metroid and leave it vulnerable to attacks. If the creature begins to feed, a concussive blast should be able to knock it away. Heavy exposure to Phazon energy has mutated this strain of Tallon Metroid. Subject can shift its body into a phased state, allowing it to ignore solid matter. The creature can emit bursts of Phazon energy, and will drain the life energy of its prey.","Morphology: Phazon Metroid. Can phase out of local timespace. Vulnerable to extreme cold.","Phazon",
"Phazon Nightbarb ","Bryyo",,"Phazon Nightbarbs have enhanced aerial mobility that makes them all but impossible to hit with normal shots. The group will work together to create a powerful energy burst that they will fire at their prey. Detonating the energy charge with normal attacks before it fires should destroy them. Phazon Nightbarbs are the results of Nightbarbs being exposed to Phazon radiation. These mutations look similar to their uncorrupted counterparts, but are characterized by their greatly increased offensive and defensive capabilities.","Morphology: Phazon Nightbarb. Group forms powerful attack, but it can be overloaded to destroy them.","Phazon",
"Phazon Pillbug ","Bryyo - Gel Processing Site",,"Pillbugs are commonly found in small spaces, often making traveling through tunnels troublesome. Bombs are effective against them, however. They are underground vermin, able to energize their hard-shelled bodies with Phazon. Once charged, they will roll into a defensive shape and charge their enemies.","Morphology: Phazon Pillbug. Generates shield for defense. Disrupted by concussive blasts.","Phazon",
"Phazon Puffer ","Phaaze",,"This particular breed of Puffer has been heavily mutated by exposure to Phazon, giving it strange new abilities. As it flies, it searches the area for Phazon energy to consume. The Puffer will absorb this energy out of any nearby bioform and energize itself. The Puffer then use the to fire a powerful attack back at their target. This ability comes with a price--the Phazon energy comprising their body is rather unstable and easily disrupted by any type of weapon fire.","Morphology: Phazon Puffer. Absorbs Phazon energy from nearby bioforms to power its own attacks.","Phazon",
"Phazon Shriekbat ","GFS Valhalla - Hangar A Access",,"Even more aggressive than normal species, Phazon Shriekbats will not hesitate to attack any creature that wanders too close. Their dive-bomb attack erupts in a burst of Phazon energy, which usually proves fatal to weaker organisms. These Shriekbats are mainly found in areas with high amounts of Phazon. Instead of the usual insects and small creatures Shriekbats usually feed on, they have come to rely on Phazon as a food source.","Morphology: Phazon Shriekbat. Aggressive ceiling dweller that dive-bombs approaching organisms","Phazon",
"Red Phaazoid ","Bryyo, SkyTown, Pirate Homeworld","Yes","Red Phaazoids, like their more common siblings, can only be damaged by Phazon-based weaponry. They are wildly aggressive and will split into smaller forms when attacked. Their reddish appearance is the result of an unstable energy core, an uncommon mutation that occurs when a Phaazoid is formed. Overloading their core with Phazon energy will destroy them, causing them to yield a rare item.","Morphology: Red Phaazoid. Rare strain of corporeal energy. Vulnerable to Phazon-based attacks.","Phazon",
"Tangle Weed ","Phaaze - Drop Shaft","Yes","A simple bioform of plant life of which there are many species across many worlds. While each breed may have characteristics native to their respective ecology, they all possess identical behavior. Tangle Weeds constantly sway their brightly colored leaves to attract potential prey to land on them. The thousands of microscopic barbs lining the Tangle Weed's body will snare and inject a paralyzing toxin into their victim. While small organisms are unable to escape, Tangle Weeds lack the strength to do anything more than hinder the movement of larger life-forms. When attacked, they will retract into the ground until they no longer sense a threat.","Morphology: Tangle Weed. Becomes agitated upon contact. Retracts into ground if threatened.","Phazon",
"Aurora Unit 313 ","Phaaze - Sanctum","Yes","Aurora Unit 313 has somehow been fused with the bioessence of Dark Samus. While combat shields protect most of the unit, a weak spot has been detected at the cable junction. Damaging the unit's core will expose this point, but the core itself is protected by an armored hatch. Tentacle ports can be damaged to initiate stunning cerebral-feedback pulses within the target. While incapacitated, the hatch will be unprotected and able to be pulled open. This unit has been heavily mutated by Phazon exposure. It appears to be symbiotically connected to the planet Phaaze as well.","Morphology: Aurora Unit 313. Hatch on its head protects core. Damage core to sever cables. Severed cable has exposed a weak point that is vulnerable to attack.","Bosses",
"Berserker Lord ","GFS Olympus - Docking Bay 5, SkyTown - Turbine Chamber","Yes","Berserker Lords are highly resistant to damage. Their shoulders are the only unprotected area vulnerable to standard weapon fire. Their main defense lies in their head-mounted Phazite plating, which can only be destroyed by the projectiles it fires. Berserker Lords are a desperate measure, designed to exploit Phazon as much as possible. The few Berserker Knights that survive the highest level of corruption are promoted to Lord status. Lords are distinguished by their ornate Phazite plating and the Phazon reserves they carry on their backs.","Morphology: Berserker Lord. Phazite plating on its head can only be destroyed by projectiles it fires.","Bosses",
"Dark Samus ","Phaaze - Sanctum","Yes","Target is composed of pure Phazon energy and is highly unstable. Scans indicate that Hypermode attacks are capable of disrupting her, likely a result of Hypermode being energized by Samus's body. Dark Samus is capable of generating ""echoes"" of herself to aid her in battle. These units are used as increased firepower and act as distractions while she replenishes her energy; they should be destroyed immediately. She is capable of absorbing energy from Phaaze to replenish her own.","Morphology: Dark Samus. Phazon energy-based entity. Disrupted by Hypermode attacks. Dark Samus is absorbing energy from Phaaze itself to replenish her own.","Bosses",
"Defense Drone ","SkyTown - Ballista Storage","Yes","The Defense Drone is used to secure key areas within SkyTown. The externally mounted antennas are tied into the unit's optic array. By destroying all of the antennas, the optic array will overload and be vulnerable for a short period. The machine's Control Unit is also vulnerable, but must be exposed to be targeted. Its armor is immune to small-arms fire.","Mechanoid: Defense Drone. Antennas appear to be fragile. Control Unit inside armored helmet.","Bosses",
"Gandrayda ","Pirate Homeworld - Proving Grounds","Yes","Gandrayda's ability to shape-shift has been greatly enhanced by Phazon exposure, allowing her to assume a number of deadly forms at will. These new forms come with a cost, as she also inherits their weaknesses. A mistress of stealth, she will employ her personal cloaking field often, setting up her next deadly attack. An advanced visor system may be able to detect her location.","Morphology: Gandrayda. Metamorphic bioform able to mimic numerous enemy units in battle. Morphology: Gandrayda. Radical shift in biostructure. Reading new DNA patterns.","Bosses",
"Ghor ","SkyTown - Main Docking Bay","Yes","Ghor's energy shield is capable of repelling all weapon fire, but the back-mounted generator is exposed to attack. Overloading the generator could expose the well-protected critical systems behind his battle armor. Ghor's arsenal is considerable. Plasma-based beam weapons, attack claws, and a multimissile system are at the cyborg�s disposal in battle. These battle systems can be combined and fired at once as a devastating alpha strike. Target is also capable of a high-speed ramming attack, although this is potentially dangerous if performed over a slippery surface.","Morphology: Ghor. Shield repels all weapon fire. Powered by a unit on his back.","Bosses",
"Helios ","Elysia - Elysian Leviathan Core","Yes","Helios's exterior armor is well shielded, but still vulnerable to Beam weaponry. Inflicting enough damage will cause him to overheat and expose his Phazon-enhanced core. This core can be overloaded with Phazon-based energy. Destruction of the core unit should prove fatal, but is difficult to achieve. Target is the prime bot of a large group of Swarmbots, all of which have been energized by Phazon. Helios will use the Swarmbots for both offensive and defensive measures. Assuming different formations will allow for various forms of attack.","Mechanoid: Helios. Phazon-enhanced core can be exposed by damaging outer shell.","Bosses",
"Korakk Beast ","Bryyo - Jousting Field","Yes","Korakks are prized by the Space Pirates, who use them as cavalry mounts. Their belly is occasionally vulnerable, but guarded from all sides. Finding a way to get underneath it and attacking would be effective. Nerve ending in the tail can be stressed through grappling, but only when the tail is extended. The interior of a Korakk's mouth, as well as the tip of their tongue, contains sensitive nerve clusters. Attacking these points could temporarily incapacitate the creature. They can emit Phazon energy through their feet and tongue. The Phazite armor they wear will repel most damage.","Morphology: Korakk Beast. Tongue and mouth are sensitive: belly sometimes vulnerable from the ground.","Bosses",
