Entry,First Location,Entry Text,Limited Scan?,Notes,Image,category,majorCategory,minorCategory
Sandgrass,Agon Wastes - Plaza Access,"Sandgrass scans indicate that the plant requires no moisture to survive. It relies exclusively on solar energy for sustenance, making it well adapted for life in a desert environment. Evidence of extensive mutation present, suggesting radical bio-adjustments within the last centicycle. Mutation source is not natural: plant strain was genetically engineered, possibly by the Luminoth.",No,Only found in the Agon Wastes,Sandgrass.png,Biology,Plantforms,
Torvus Bearerpod,Torvus Bog - Torvus Lagoon,"The Torvus Bearerpod grows around useful items. The hard outer shell can be shattered by weapon fire. The Luminoth use the hardy plants to store supplies for operations in the Torvus Bog. They are resistant to the harsh chemicals and diseases that run rampant in the swamp, and emit a deadly cloud when destroyed. This has discouraged their consumption by local animals.",No,Only found in Torvus Bog,Torvus Bearerpod.png,Biology,Plantforms,
Torvus Hanging Pod,Torvus Bog - Temple Transport Access,"The Luminoth placed these pods throughout the bog for use by their soldiers during the war. Though many have been raided since then, some still contain useful items left over from the war.",No,Also found in the Torvus Lagoon,Torvus Hanging Pod mp2 Logbook.png,Biology,Plantforms,
Dark Lift Crystal,Agon Wastes - Hall of Stairs,"Luminoth lift platform will raise when Crystal is energized by light-based weaponry. Used by the Luminoth forces during their war. Most still function, despite periodic abuse from the Ing.",No,Only found in the Agon Wastes,Dark Lift Crystal.png,Luminoth Technology,Lift Crystals,
Light Lift Crystal,Dark Agon Wastes - Doomed Entry,"Luminoth lift platform will lower when Crystal is energized by dark weaponry. Used by the Luminoth force during their war. Most still function, despite periodic abuse from the Ing.",No,,Light Lift Crystal.png,Luminoth Technology,Lift Crystals,
Liftvine Crystal,Dark Torvus Bog - Brooding Ground,"Darkling plantform will grow in height when Crystal is energized by light-based weaponry. The Luminoth used these to navigate during their campaigns on Dark Aether. The Ing ignore the simple plant, as it is not a source of nourishment or a weapon.",No,,Dark Lift Crystal.png,Luminoth Technology,Lift Crystals,
Energized Beacon,Dark Agon Wastes - Feeding Pit,"Energized Beacons provide better protection from Dark Aether's denizens. Dark creatures are damaged by the energized field. Some are killed on contact. The extra protection is not unlimited, and must be recharged by the Light Beam to remain in effect.",No,,Energized Beacon.png,Light Beacons,Lift Crystals,
Light Beacon,Dark Agon Wastes - Portal Site,"Light Beacons must be energized by Beam weapon fire to function, and remain charged for a limited time. The Beacons were created when the Luminoth ran short of Light Crystals during the war. While simpler to make, the Beacons were also unstable. They had to be energized periodically, and could run out of energy at critical moments. Still, any protection was better than none for the Luminoth warriors.",No,,Light Beacon.png,Light Beacons,Lift Crystals,
Nullified Beacon,Dark Agon Wastes - Doomed Entry,"Light Beacons, when covered with dark energy, cease to function for a brief time. Light energy can clear the Beacon of the dark energy. Some dark creatures will fire dark energy at Light Beacons to hinder or damage their opponents.",No,,Nullified Beacon.png,Light Beacons,Lift Crystals,
Super Beacon,Ing Hive - Aerial Training Site,"When charged with light and dark energy at once, the Beacon compels Ing to approach it, despite the deadly field of energy it emits.",No,,Super Beacon mp2 Logbook.png,Light Beacons,Lift Crystals,
Energized Crystal,Dark Agon Wastes - Feeding Pit,"Energized Crystals provide better protection from Dark Aether's denizens. Dark creatures are damaged or killed by the energized field. Some are killed on contact. The extra protection is not unlimited, and must be recharged by the Light Beam to remain in effect.",No,,Super-Energized Crystal.png,Light Beacons,Light Crystals,
Light Crystal,Dark Agon Wastes - Portal Site,"Light Crystals provide protection from Dark Aether's atmosphere. They can be nullified by dark energy, or super charged by light energy. They were created by the Luminoth during the war with the Ing, and many still remain in use. Dark creatures despise the Crystals: some are injured or killed by the field they create.",No,,Light Crystal.png,Light Beacons,Light Crystals,
Nullified Crystal,Dark Agon Wastes - Doomed Entry,"Light Crystals, when covered with dark energy, cease to function for a short time. Light energy can clear the Crystal of the dark energy. Some dark creatures will fire dark energy at Light Crystals to hinder or damage their opponents.",No,,Nullified Crystal.png,Light Beacons,Light Crystals,
Super Crystal,Dark Agon Wastes - Aerial Training Site,"When charged with light and dark energy at once, the Crystal becomes a beacon to the Ing. They are compelled to approach it, despite the deadly field of energy it emits.",No,,Super-Energized Crystal.png,Light Beacons,Light Crystals,
Dark Sentinel Crystal,Dark Torvus Bog - Dark Forgotten Bridge,"The original Sentinel Crystals were durable, but they had their limits. The toxic nature of Dark Aether, coupled with constant attack from the Ing, destroyed many of them. The Luminoth responded with the Dark Sentinel Crystal. Sheathed in dark energy, it is more resistant to the atmosphere of the Ing homeworld - and the attacks of its denizens.",No,Only found in Dark Torvus Bog,Dark Sentinel Crystal.png,Light Beacons,Utility Crystals,
Sentinel Crystal,Torvus Bog - Forgotten Bridge,"During the war, the Luminoth used the Sentinel Crystals to monitor key areas and installations. They are incredibly durable resisting all but the most powerful of Ing attacks. U-Mos still uses the remaining Sentinel Crystals to keep a watch for Ing activity.",No,Only found in Torvus Bog,Sentinel Crystal.png,Light Beacons,Utility Crystals,
GF Bridge,Temple Grounds - Industrial Site,"This bridge is durable, but often locks in place, leading the Marines to call for a new design. The Mk III should enter service within the next eight cycles.",No,Lowered by Samus on her path to the Great Temple,GF Bridge mp2 Logbook 01.png,Mechanisms,GF Security,
GF Gate Mk VI,Temple Grounds - Hive Chamber A,"This gate is used with Armored Security Locks, which must be neutralized to operate the gate. Gate is resistant to all but the most potent explosives.",No,None,GF Gate mp2 Logbook 01.png,Mechanisms,GF Security,
GF Gate Mk VII,Temple Grounds - Dynamo Chamber,"The Mk VII Defense Gate is composed of Denzium. Invulnerable to most weapons, though high-yield explosives are effective. Often used in conjunction with a remote scan access control panel.",Yes,Must be scanned before being destroyed by a Power Bomb,GF Gate mp2 Logbook 01.png,Mechanisms,GF Security,
Bomb Slot,Temple Grounds - Command Chamber,"Insert the Morph Ball into the slot, then detonate a Bomb. This will send energy from the slot to the device connected to it.",No,Can also be found in several other locations,Bomb Slot mp2 Logbook.png,Mechanisms,Systems,
Grapple Point,Dark Torvus Bog - Sacrificial Chamber,"To use the Grapple Beam, use L Button GCN.png when the grapple icon appears. You can fire your weapons while attached to a grapple point.",No,"Can also be found in other locations, such as the Undertemple Shaft and Windchamber Gateway",Grapple Point (Echoes).png,Mechanisms,Systems,
Kinetic Orb Cannon,Temple Grounds - Sacred Bridge,"The purpose of the Kinetic Orb Cannon is unclear. It may have originally been designed for industrial use, then converted to a combat system in later times.",No,Can also be found in several other locations,Kinetic Orb Cannon.png,Mechanisms,Systems,
Spider Ball Track,Sanctuary Fortress - Dynamo Works,"In Morph Ball mode, press and hold R Button GCN.png when close to this type of surface. Use [Control Stick] to move the Ball along the track. Release R Button GCN.png to disengage from the surface. Using the Boost ability when on a Spider Ball Track will rapidly launch the Spider Ball from the track. Detonating a Morph Ball Bomb will briefly disengage the Ball from the track.",No,Can also be found in several other locations (and in a brown color in the Agon Wastes),Spider Ball Track (Echoes).png,Mechanisms,Systems,
Spinner,Torvus Bog - Forgotten Bridge,Boost powered control system. Use the Boost ability of the Morph Ball when inside a Spinner to activate the device it powers.,No,Multiple Spinners can also be found in the Hall of Honored Dead,Spinner (Echoes).png,Mechanisms,Systems,
Wall Jump Surface,Ing Hive - Central Hive West Transport,This surface was designed to be used in conjunction with the Screw Attack system. Perform Screw Attacks while facing and touching wall to do a Wall Jump.,No,Can also be found in the Undertemple and Sanctum Access,,Mechanisms,Systems,
GFS Tyr,Temple Grounds - GFMC Compound,"The Anhur class is a state-of-the-art warship, designed to police and defend planetary systems. This ship, the G.F.S. Tyr, has been heavily damaged. It appears that the crew have dismantled parts of the Tyr as well, possibly for use as makeshift defense systems.",No,None,GFS Tyr (Echoes).png,Mechanisms,Vehicles,
Pirate Skiff,Agon Wastes - Central Mining Station,"Plans for the Shrike were recently stolen from a GF lab by the Space Pirates. Production began immediately, and the fast-moving skiff is now part of Pirate operations. It is used primarily as a troop transport, taking a fire team of troopers into action. The Shrike is unarmed, relying on the troops it carries for protection against hostile forces.",No,Also appears in the Torvus Temple on Samus's first visit,Pirate Skiff.png,Mechanisms,Vehicles,
Samus's Gunship,Temple Grounds - Landing Site,"Your Hunter-class gunship is one of a kind, its distinct hull lines marking it to friend and foe alike. Custom built for you by the Federated Shipyards at Aliehs III, it contains a mobile energy recharge system and microfactories designed to produce ammunition. A sophisticated onboard computer stores mission data collected in the field for future reference.",Yes,Must be scanned before undergoing repairs (when Samus first arrives on Aether),Samus's Gunship mp2 Logbook.png,Mechanisms,Vehicles,
