header,header,header,header,header,header,header,header,header
Kralee,Agon Wastes - Mining Station B,"The Kralee phases between dimensions as a defense mechanism. A crystal in its carapace gathers energy to fuel the creation of a warp portal. The process is uncontrollable, keeping the Kralee in constant dimensional flux.",No,None,https://cdn.wikimg.net/en/metroidwiki/images/thumb/f/f2/Kralee_mp2_Logbook.png/60px-Kralee_mp2_Logbook.png,Aether,Ground,Surface Prowlers
Krocuss,Torvus Bog - Grove Access,The Krocuss thrives on toxins it extracts from its surroundings. It secretes an acidic trail in its wake as it roams in search of nourishment. The durable mollusk can be damaged when it exposes its toxin-absorbing gills: few weapons can penetrate the creature's shell.,No,None,https://cdn.wikimg.net/en/metroidwiki/images/thumb/9/9d/Krocuss_mp2_Logbook.png/60px-Krocuss_mp2_Logbook.png,Aether,Ground,Surface Prowlers
Lightbringer,Dark Agon Wastes - Duelling Range,"Lightbringers were created by the Luminoth for use in their war with the Ing. The crystalline creatures generate a field of life-giving energy at all times, and they can be energized like a Safe Zone Crystal. They are immune to most weapon fire: only a burst of matter-antimatter can destroy them.",Yes,Disappears after the Light of Aether is drained from the Dark Agon Temple,https://cdn.wikimg.net/en/metroidwiki/images/thumb/0/09/Lightbringer_mp2_Logbook.png/60px-Lightbringer_mp2_Logbook.png,Aether,Ground,Surface Prowlers
Seedburster,Torvus Bog - Underground Tunnel,"Seedbursters are moving plants, capable of traveling great distances in search of fertile soil to deposit their seeds in. When provoked by predators, the Seedburster will explode, turning the precious seed inside into a deadly projectile. These seed often do not live to fruition, but help protect the rest of the Seedburster pack from attacks.",No,Also located in the Training Access,https://cdn.wikimg.net/en/metroidwiki/images/thumb/7/75/Seedburster_mp2_Logbook.png/60px-Seedburster_mp2_Logbook.png,Aether,Ground,Surface Prowlers
Pillbug,Agon Wastes - Portal Terminal,"Pillbugs prefer to dwell in dark caverns, though they can exist in lit areas. Navigating with a series of sensitive antennae, they roam through caves in search of moss and fungus. Pillbugs can move rapidly, and will ram unwary targets to clear their path as they search for food. A Pillbug can be jarred loose from a surface with a concussive blast: doing so reveals its vulnerable belly.",No,Can later be found in the Dynamo Works after the defeat of the Spider Guardian,https://cdn.wikimg.net/en/metroidwiki/images/thumb/d/d4/Pillbug_mp2_Logbook_01.png/60px-Pillbug_mp2_Logbook_01.png,Aether,Ground,Tunnel Prowlers
Worker Splinter,Temple Grounds - Hive Tunnel,"The Worker Splinter is bred for service, not combat. It spends its time collecting foodstuffs and raw material for the Hive. A layer of mucus helps to protect the creature from the toxins and chemicals it often works with. They can generate a sturdy, pliable webbing, useful in travel throughout the Hive.",No,None,https://cdn.wikimg.net/en/metroidwiki/images/thumb/3/3e/Worker_Splinter_mp2_Logbook_01.png/60px-Worker_Splinter_mp2_Logbook_01.png,Aether,Ground,Tunnel Prowlers
Shredder,Torvus Bog - Torvus Lagoon,"The Shredder spends most of its life in the earth. When agitated, it will spring from the ground, then begin to fly toward its foe. Should it reach its target, the Shredder will explode with considerable force, releasing a cloud of thorns as it does. Shredders are resilient, but can be eliminated with concentrated weapons fire.",Yes,Shredders can also be found in the Ruined Alcove,https://cdn.wikimg.net/en/metroidwiki/images/thumb/c/c2/Shredder_mp2_Logbook.png/60px-Shredder_mp2_Logbook.png,Aether,Flying,Large Flyers
Shriekbat,Agon Wastes - Temple Access,"Shriekbats have high internal temperatures, leading them to seek cool climates to dwell in. They prefer caverns, roosting on ceilings while hunting for small prey. Fiercely territorial, they dive-bomb anything that wanders near. This attack is fatal for the Shriekbat, as the impact sets off a discharge of thermal energy.",No,Shriekbats can also be found in multiple areas in Torvus Bog,https://cdn.wikimg.net/en/metroidwiki/images/thumb/e/e4/Shriekbat_mp2_Logbook_01.png/60px-Shriekbat_mp2_Logbook_01.png,Aether,Flying,Large Flyers
Shrieker,Torvus Bog - Great Bridge,"A cousin to the Shredder, the Shrieker waits for prey half-buried in the earth. When it detects a target, it erupts from the ground and takes flight. It releases a sonic blast to stun its target, then sweeps in to feast. Shriekers can generate a stealth field that disrupts most Visors, making them difficult to attack.",No,Can also be found in Torvus Temple after talking to A-Voq for the first time,https://cdn.wikimg.net/en/metroidwiki/images/thumb/e/e3/Shrieker_mp2_Logbook.png/60px-Shrieker_mp2_Logbook.png,Aether,Flying,Large Flyers
Lightflyer,Great Temple - Transport B Access,"The Lightflyer is an aggressive flying drone. Once loyal to the Luminoth, it will now fire a burst of energy at any living thing within range. It generates light at all times, making it somewhat easy to target.",No,Found in multiple locations,https://cdn.wikimg.net/en/metroidwiki/images/thumb/3/37/Lightflyer_mp2_Logbook.png/60px-Lightflyer_mp2_Logbook.png,Aether,Flying,Small Flyers
Lumite,Agon Wastes - Plaza Access,"The Lumite thrives on light, and can render itself invisible to most predators while within it. When out of the light, the creature is relatively harmless, relying on a crudely spat chunk of biomatter to defend itself. Once in the light, it can channel large amounts of solar energy into a deadly blast.",No,Found in multiple locations,https://cdn.wikimg.net/en/metroidwiki/images/thumb/7/75/Lumite_mp2_Logbook_01.png/60px-Lumite_mp2_Logbook_01.png,Aether,Flying,Small Flyers
Sandbats,Great Temple - Transport C Access,"Sandbats are small flyers. They travel in packs for safety, though they are predatory in nature. Failing to find prey as a group, Sandbats will often enter a feeding frenzy and attack one another in search of sustenance.",No,Also found in Meeting Grounds and Sand Station A,https://cdn.wikimg.net/en/metroidwiki/images/thumb/2/20/Sandbat_mp2_Logbook.png/60px-Sandbat_mp2_Logbook.png,Aether,Flying,Small Flyers
War Wasp,Temple Grounds - Sacred Bridge,"The War Wasp rarely strays far from its hive unless it is pursuing an immediate threat. It attacks with no regard for its own survival, dive-bombing its enemy with stinger extended. Fast-working toxins from the stinger can incapacitate most small organisms. If it battles foes at range, it will fire bursts of potent energy.",Yes,Found in multiple areas throughout the Temple Grounds and in Agon Wastes,https://cdn.wikimg.net/en/metroidwiki/images/thumb/e/e3/War_Wasp_mp2_Logbook_01.png/60px-War_Wasp_mp2_Logbook_01.png,Aether,Flying,Small Flyers
Ingsmasher,Sanctuary Fortress - Hall of Combat Mastery,"Designed to fight alongside the Luminoth, the Ingsmasher now seeks to destroy them. In close combat, it smashes its energized fists into the earth to send out powerful shock waves, then pulverizes any immobile prey. It will fire salvos of missiles at long-distance quarry. It uses an energy shield in battle that can be adjusted to protect against a variety of beam weapons. The shield can be overloaded by opposite-polarity beams, however, damaging the Ingsmasher in the process.",Yes,"Only five Ingsmashers can be scanned for a Logbook entry, three in the Hall of Combat Mastery and two in the Reactor Access",Ingsmasher mp2 Logbook.png,Aether,Mechanoids,Large
Mekenobite,Sanctuary Fortress - Sanctuary Temple,"The Luminoth created the Mekenobite to help patrol the corridors and shafts of Sanctuary Fortress. It uses magnetism to keep itself attached to the walls and ceilings. In combat, it will fire projectiles toward its target with a magnetic accelerator. It can only be dislodged by simultaneous explosive blasts. Mekenobites self-destruct once they are heavily damaged.",No,Can also be found in the Sentinel's Path,Mekenobite mp2 Logbook.png,Aether,Mechanoids,Large
Quad CM,Sanctuary Fortress - Reactor Core,"A Quad is formed of two components: the quadruped Main Body and the flying Command Module. These units can function independently, or linked together, as the need arises. The Command Module relies on ranged beam weapon attacks. It can generate a powerful beam shield to protect itself. Opposite-polarity beams can penetrate this shield, however.",No,Found in multiple areas throughout Sanctuary Fortress,Quad CM mp2 Logbook.png,Aether,Mechanoids,Large
Quad MB,Sanctuary Fortress - Reactor Core,"A Quad is formed of two components: the quadruped Main Body and the flying Command Module. These units can function independently, or linked together, as the need arises. The Main Body uses melee attacks in battle. Though durable, it needs to vent excess heat from its body. When this happens, it exposes a venting system vulnerable to concussive attacks.",No,Found in multiple areas throughout Sanctuary Fortress,Quad MB mp2 Logbook.png,Aether,Mechanoids,Large
Watchdrone,Dark Torvus Bog - Dungeon,"Watchdrones were built by the Luminoth to guard key areas and hinder Ing armies. Most of these units have betrayed their masters, and now serve the Ing. Watchdrones are indestructible and reluctant to move, but can be forced into quitting their posts by exposing them to bright, pure light. Once the light fades, the mechanoid will return to its original resting site.",No,None,Watchdrone mp2 Logbook.png,Aether,Mechanoids,Large
Diligence Class Drone,Sanctuary Fortress - Dynamo Access,"The Diligence drones were the first cleaning units designed by the Luminoth. They were modified for combat duty once the war began, but were outshined by the newer Harmony-class units. A Diligence uses focused energy beams to perform its duty. Their energy construct nature makes them invulnerable to most attacks, though dark energy can disrupt them.",No,None,Diligence Class Drone mp2 Logbook.png,Aether,Mechanoids,Small
Harmony Class Drone,Great Temple - Transport C Access,"The Luminoth designed the Harmony units to be free-roaming, independent cleaning units. They use focused energy beams and kinetic pulses to perform their duties. Unfortunately, they now consider all living things as filth that must be cleansed from the world.",No,None,Harmony Class Drone mp2 Logbook.png,Aether,Mechanoids,Small
Mechlops,Sanctuary Fortress - Dynamo Access,"The Luminoth tried to domesticate and train a number of Triclops for use in war, but failed. Undaunted, they created mechanical versions of the hardy creatures to use in battle. The few Mechlops that remain now serve other mechanoids, turning their potent jaws and earthmoving power against their former masters.",No,None,Mechlops mp2 Logbook.png,Aether,Mechanoids,Small
Octopede,Sanctuary Fortress - Power Junction,"The Octopedes were created to deliver data to Luminoth citizens. They now follow their routes in the service of other rogue mechanoids. The units were designed to self-destruct if attacked, and will explode with enough force to cause damage.",No,Can also be found in Torvus Transport Access,Octopede mp2 Logbook.png,Aether,Mechanoids,Small
Rezbit,Sanctuary Fortress - Reactor Access,"The Rezbit, though small, is a tough opponent. Its weapon system is potent, capable of firing bursts or beams at targets. A barrier shield blocks incoming attacks. It can also shift into an energy state to evade enemies: while in this state it can transmit a powerful virus into mechanoids and armor systems. The virus can cripple your systems for a time, leaving you vulnerable.",No,Found throughout Sanctuary Fortress,Rezbit mp2 Logbook.png,Aether,Mechanoids,Small
Serenity Class Drone,Sanctuary Fortress - Temple Transport Access,"The Serenity drones have not gone rogue. The units are defenseless, have no weapons, and cannot be eaten. These qualities make them useless to the Ing. The small drones are assigned simple maintenance tasks upon creation and perform them without hesitation until reassigned or destroyed.",No,None,Serenity Class Drone mp2 Logbook.png,Aether,Mechanoids,Small
Caretaker Class Drone,Sanctuary Fortress - Main Research,The Caretaker drone was designed to protect and maintain an experimental energy chamber. It uses electrically charged limbs to perform its duties. The drone requires sensor updates to fight: a vulnerable detection unit will extend periodically to search for targets. Destroying this unit would weaken its combat ability.,Yes,Can only be scanned from outside its chamber,Caretaker Class Drone mp2 Logbook.png,Aether,Mechanoids,Stationary
Growler Class Turret,Temple Grounds - Trooper Security Station,"The GM-42 ""Growler"" Class Turret is a dated design, though still quite effective as a point-defense system. It is lightly armored, and fast-moving targets can evade its tracking system. Several copies of the system exist, including the Space Pirate ""Humility"" Class automated turret.",Yes,The turret cannot be scanned again once it is destroyed,https://cdn.wikimg.net/en/metroidwiki/images/thumb/c/cd/Growler_Class_Turret_mp2_Logbook_01.png/60px-Growler_Class_Turret_mp2_Logbook_01.png,Aether,Mechanoids,Stationary
Humility Class Turret,Agon Wastes - Biostorage Access,"The Space Pirates copied captured Federation ""Growler"" turrets, but found the cannon unit inadequate. The replaced the Growler's weapon with a powerful galvanic accelerator cannon. The ""Humility"" turret packs a strong punch, but retains the Growler system's weaknesses. Fast targets can evade the crude targeting system, and the armor can't take much punishment.",No,None,https://cdn.wikimg.net/en/metroidwiki/images/thumb/3/3a/Humility_Class_Turret_mp2_Logbook.png/60px-Humility_Class_Turret_mp2_Logbook.png,Aether,Mechanoids,Stationary
Luminoth Turret,Temple Grounds - Fortress Transport Access,"As the number of Luminoth warriors dwindled, they turned to machines to protect key areas. Automated gun turrets were often the first line of defense against Ing attacks. Though powerful, they weren't nimble enough to deal with agile enemy targets.",No,Can also be scanned in Temple Transport Access and in the Transit Station,Luminoth Turret mp2 Logbook.png,Aether,Mechanoids,Stationary
"""Vigilance"" Class Turret",Agon Wastes - Central Mining Station,"The ""Vigilance"" Class Turret is found in many Space Pirate bases. Built to support the ""Humility"" Class Turret, it is as accurate as the gunner operating it. Many young Space Pirates begin their careers as sentries: a tour as a Vigilance gunner is considered a mark of distinction.",Yes,Only two turrets can be scanned for a logbook entry,https://cdn.wikimg.net/en/metroidwiki/images/thumb/0/0e/Vigilance_Class_Turret_mp2_Logbook.png/60px-Vigilance_Class_Turret_mp2_Logbook.png,Aether,Mechanoids,Stationary
Dark Blogg,Torvus Bog - Training Chamber,Dark Blogg somehow lose their sonic blast ability: something about their minds makes them difficult for darklings to fully control. They rely solely on their deadly maws for attack: in most cases they are more than adequate. Target the weak spot inside its mouth to defeat the Dark Blogg with ease.,No,Only found in the Training Chamber after the Grapple Guardian is defeated,Dark Blogg.png,Dark Aether,Darklings,Darkling Aquatic
Dark Phlogus,Dark Torvus Bog - Dark Forgotten Bridge,"The Phlogus waits patiently as it floats in murky waters, searching for a meal. When the seismic sensors in its epidermis are triggered, it springs open rapidly to attack. Phlogi can fire a spray of venom to immobilize their prey. A central nervous system is exposed when it opens its mouth to attack: damage this to stun the Phlogus for a time.",No,Also located in the Putrid Alcove,Dark Phlogus.png,Dark Aether,Darklings,Darkling Aquatic
Dark Shredder,Dark Torvus Bog - Dark Torvus Temple,"The hardy Shredder is a favorite possession target for Ing that dwell near dark water. Dark Shredders can lurk in the venomous liquid indefinitely, patiently waiting for prey. When agitated, it will emerge and begin to fly toward its foe. They are very resilient, but can be eliminated with concentrated weapons fire.",Yes,Dark Shredders only appear during the battle with Chykka's larval form.,Dark Shredder mp2 Logbook.png,Dark Aether,Darklings,Darkling Flyers
Dark War Wasp,Temple Grounds - Service Access,"Vicious and swift, the War Wasp is a prime target for young Ing eager to join the war effort. They appreciate the flying speed and numerous attacks the insect possesses. If they prove their mettle in the War Wasp, these Ing often graduate to the control of larger, deadlier creatures.",No,"Dark War Wasps first appear after the defeat of Chykka, they are also found in the Vault Attack Portal",Dark War Wasp.png,Dark Aether,Darklings,Darkling Flyers
Nightbarb,Dark Agon Wastes - Save Station 2,"Nightbarbs are small airborne darklings. Smaller and weaker than a Hunter Ing, a Nightbarb will travel with a large pack to increase its odds of survival. This is wise, since their primary predators are Hunter Ing.",No,Nightbarbs are very common in many areas of Dark Aether,Nightbarb mp2 Logbook 01.png,Dark Aether,Darklings,Darkling Flyers
Dark Alpha Splinter,Great Temple - Temple Sanctuary,"Splinter alpha males are the first to be targeted for darkling possession. Dark Alpha Splinters grow in strength and durability, making them an even greater threat than normal.",Yes,Can only be found once in the Temple Sanctuary,Dark Alpha Splinter.png,Dark Aether,Darklings,Darkling Ground
Dark Grenchler,Dark Torvus Bog - Dungeon,"Darklings are drawn to possess vicious predators, making the Grenchler a prime candidate. Despite the added toughness gained from possession, the Dark Grenchler retains its one weakness. Remove the back shell with explosive blasts to expose its pain center, then attack the pain center to quickly dispatch the creature.",No,Only appears in the Dungeon,Dark Grenchler.png,Dark Aether,Darklings,Darkling Ground
Dark Splinter,Temple Grounds - GFMC Compound,Target is host to a parasitic bioform. The presence of the parasite increases the target's overall combat threat level. Concentrated weapons fire will damage the target.,No,Found in multiple areas of the Temple Grounds and Dark Agon Wastes,Dark Splinter.png,Dark Aether,Darklings,Darkling Ground
Corrupted Sentreye,Sky Temple Grounds - Abandoned Base,"The Sentreyes were designed by the Luminoth to protect their camps on Dark Aether. The Ing learned how to possess them and turn them on their former masters. Many still remain throughout Dark Aether, now serving the Ing as they served the Luminoth before them. Most weapon types will stun the Sentreyes. Only charged light energy will destroy them.",No,Also found in the Shrine Access,Corrupted Sentreye.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Diligence Drone,Ing Hive - Hazing Cliff,"Some Diligence drones have been taken by the Ing for possession duties. Their small size and durability makes them excellent scouts, able to go where most others cannot. A Dark Diligence still relies on focused energy beams for defense. Their energy construct nature makes them invulnerable to most attacks. A high-powered burst of light energy can disrupt a Dark Diligence unit.",No,Only found in the Hazing Cliff,Dark Diligence Drone mp2 Logbook.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Ingsmasher,Varies,"Once the Ing discovered they could possess intelligent machines, the mighty Ingsmashers were top-priority targets for the Horde. The drones retain all of their attacks - shock-wave fists and missile launchers. It uses an energy shield in battle that can be adjusted to protect against a variety of beam weapons. The shield can be overloaded by opposite-polarity beams.",No,Found in the Hive Portal Chamber and in the Hive Reactor,Dark Ingsmasher.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Quad CM,Sanctuary Fortress - Sanctuary Temple,"The Ing discovered they could possess and control artificially intelligent machines as well as living beings. They soon turned the loyal Quad drones against the Luminoth, finding the tenacious machines to be quite useful additions to the Horde. A dominant darkling assumes control of the Command Module, forcing the lesser Ing in the Main Body to do its bidding.",Yes,Also found in the Hive Temple during the battle against Quadraxis,Dark Quad CM.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Quad MB,Sanctuary Fortress,"The Ing discovered they could possess and control artificially intelligent machines as well as living beings. They soon turned the loyal Quad drones against the Luminoth, finding the tenacious machines to be quite useful additions to the Horde.",Yes,Also found in the Hive Temple during the battle against Quadraxis,Dark Quad MB.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Missile Trooper,Temple Grounds - Hive Chamber A,"Bioscans indicate terminated lifesigns in this missile trooper, and the presence of an unknown biomass with parasitic tendencies. Though the missile trooper's armor has been compromised, the bulk of it remains intact. Missile weapon system remains online as well. Full parasitic fusion has yet to be obtained, resulting in low agility and response time.",Yes,Only appears after the defeat of the Dark Alpha Splinter,Dark Missile Trooper.png,Dark Aether,Darklings,Darkling Offworld
Dark Pirate Commando,Torvus Bog - Great Bridge,"The Ing prize the few Pirate Commandos they manage to take alive. Only Hunter Ing are allowed to possess the Commandos, and the competition for that right is fierce among them. The Hunter Ing ability to phase out of local timespace carries over to the Dark Pirate Commando. They will fire bursts of dark matter at enemies, along with experimental EMP grenades stolen from the Space Pirates.",No,Found throughout Aether and Dark Aether,Dark Pirate Commando (Echoes).png,Dark Aether,Darklings,Darkling Offworld
Dark Pirate Trooper,Agon Wastes - Portal Terminal,"Pirate troopers, already trained to follow orders without question, were perfect candidates for Ing possession. Darklings moves to take every trooper they could, expanding the army of the Horde considerably. Space Pirate technology struck a chord with the Ing, who now hunt actively for gadgetry of any kind - especially weapon systems.",No,Can be found in multiple areas,Dark Pirate Trooper.png,Dark Aether,Darklings,Darkling Offworld
Dark Preed,Dark Torvus Bog - Dark Torvus Arena,"The aggressive Preeds are often possessed by darklings for aerial hunting missions. The presence of the dark creature makes the small cyborg more durable. The toxic gas carried by a Preed is enhanced by exposure to dark energy, making it considerably more dangerous.",No,Can be found in multiple areas,Dark Preed mp2 Logbook.png,Dark Aether,Darklings,Darkling Offworld
Dark Tallon Metroid,Dark Agon Wastes - Phazon Site,"The Ing are fascinated by Metroids and their connection to Phazon. It is not a shared fascination, as Metroids will attack Ing on sight. Recognizing their strength, Ing darklings have possessed a number of Metroids, turning them into powerful soldiers of the Horde.",No,Also found in the Hazing Cliff and Phazon Grounds,Dark Tallon Metroid mp2 Logbook.png,Dark Aether,Darklings,Darkling Offworld
Dark Trooper,Temple Grounds - Command Chamber,"Bioscans indicate terminated lifesigns in this trooper, and the presence of an unknown biomass with parasitic tendencies. Though the trooper's armor has been compromised, the bulk of it remains intact. Weapon systems remain online as well. Full parasitic fusion has yet to be obtained, resulting in low agility and response time.",No,Found in multiple areas of the Temple Grounds,Dark Trooper.png,Dark Aether,Darklings,Darkling Offworld
Emperor Ing Body,Sky Temple - Sanctum,"Bioscans indicate that this is the eldest, strongest Ing in the Horde, the alpha and the omega. It has absorbed enormous amounts of Phazon energy into its body, mutating itself in the process. Apparently this power is not enough for the creature, as it is now siphoning energy from the final Energy Controller.",Yes,Must scan before transformation.*,Emperor Ing Body mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Emperor Ing Head,Sky Temple - Sanctum,"Like its brethren, the Emperor Ing is a metamorph. It has molded itself around the precious Energy Controller, and will defend it to the death, using its own body as a shield and weapon. Destroy the tentacles it generates to weaken the creature and its defenses.",Yes,Must scan before transformation.*,Emperor Ing Head mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Emperor Ing Eye,Sky Temple - Sanctum,"The Emperor Ing has exposed its main eye, from which it can fire powerful energy beams. It is protected by an energy shield, although not completely. The eye can be locked onto, but only direct shots will get past the shield.",Yes,Must scan before transformation.*,Emperor Ing Eye mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Emperor Ing Chrysalis,Sky Temple - Sanctum,The heavily damaged Emperor Ing has entered a regenerative state inside a durable healing shell. Tactical scans have detected eleven weak points on the magnetically charged shell: Spider Ball travel is possible on the shell surface. Damage the weak spots with explosives to crack the shell and expose the enemy within.,Yes,Must scan before transformation.*,Emperor Ing Chrysalis mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Mutated Emperor Ing,Sky Temple - Sanctum,"Further exposure to Phazon has mutated the Emperor Ing. It is now capable of shielding its vulnerable areas with energy barriers. Beams of opposite polarity can damage these barriers, however. Heavy damage to these barriers will cause them to drop, exposing the creatures weak spots. Target the weak spots to immobilize and damage the enemy.",Yes,Must scan before defeat.*,Mutated Emperor Ing mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Darkling Tentacle,Dark Agon Wastes - Double Path,"Some darklings can open dimensional portals at will. They use this ability to hunt for unwary prey, reaching out to snatch them with their tentacles. Once ensnared, the prey is dragged to its doom. The tentacles are resilient; pure light energy can disrupt them. Nothing can destroy them.",No,Found in all areas of Dark Aether except for the Sky Temple,Darkling Tentacle.png,Dark Aether,Darklings,Ing
Hunter Ing,Dark Torvus Bog - Polluted Mire,"The Hunter Ing patrol the lands of Dark Aether in search of the Horde's enemies. They can render their bodies intangible, allowing them to ambush their targets with ease. Hunter Ing can generate long, deadly tentacles, which they use with great effect in battle. Cunning and relentless, the Hunter Ing will seize their prey or die.",No,Also found in several other locations in Dark Aether,Hunter Ing mp2 Logbook.png,Dark Aether,Darklings,Ing
Ing Larva Swarm,Ing Hive - Entrance Defense Hall,Ing larvae travel in swarms for protection. They are weak with no real defenses or attacks. The few that make it to adulthood are quite cunning and vicious.,No,Only found in the Ing Hive,Ing Larva Swarm mp2 Logbook.png,Dark Aether,Darklings,Ing
Inglet,Dark Agon Wastes - Crossroads,"Inglets preform the menial labor of the Horde, but can but pressed into a combat role if there is a need. They are amorphous blobs, capable of clinging to nearly any surface. Inglets can fire bursts of dark matter in self-defense, though they prefer to avoid battle. They seldom travel alone, and can be dangerous in large numbers. As with are Ings, they dislike bright light, and will avoid it if possible.",No,Also found in several other locations in Dark Aether,Inglet mp2 Logbook.png,Dark Aether,Darklings,Ing
Ingstorm,Sky Temple Grounds - Reliquary Access,"The Ingstorm is a collective swarm of tiny Ing. When banded together, they can emit destructive energy that, over time, can break down the most durable of alloys.",No,Also found in other locations in Dark Aether,Ingstorm mp2 Logbook.png,Dark Aether,Darklings,Ing
