Shattered Hope,Sanctuary Fortress - Main Research (NTSC version)/Sanctuary Fortress - Hall of Combat Mastery (PAL/Trilogy version),"None of the warriors sent to the Sky Temple returned. Our forces searched Dark Aether for them, in vain. Of the Energy Transfer Module, there was no sign. Though saddened, we set out to prepare another mission, to build another module, to try once more to save our dying world.",,Luminoth Lore,Conflict,Second Phase
Agon Falls,Sanctuary Fortress - Sanctuary Energy Controller (NTSC version)/Sanctuary Fortress - Main Gyro Chamber (PAL/Trilogy version),"A massive Ing attack came to the land of Agon. Soon, the Temple of Agon was surrounded by the Horde, with no hope of salvation. Our gallant warriors there were slain, and Agon fell to the enemy. Our blood chilled when we learned that the energy within that temple was drained. The Ing had found the Energy Transfer Module, and were using it as a weapon against us.",,Luminoth Lore,Conflict,Second Phase
Torvus Falls,Sanctuary Fortress - Main Gyro Chamber (NTSC version)/Sanctuary Fortress - Sanctuary Entrance (PAL/Trilogy version),"The Ing turned their focus on the Torvus Bog next, sending a vast force to lay siege to the temple there. Thousands upon thousands of Ing were destroyed by our warriors, yet they kept coming until there was no Luminoth alive to offer resistance in Torvus. On that day, the energy of Torvus was taken to Dark Aether, and our hopes for survival grew dim.",,Luminoth Lore,Conflict,Second Phase
Sanctuary Falls,Sanctuary Fortress - Watch Station (NTSC version)/Sanctuary Fortress - Main Research (PAL/Trilogy version),"Our battered forces gathered in the Sanctuary Fortress to prepare for the inevitable siege there. They didn't wait long. Wave after wave of Ing assaulted the greatest of our fortresses, with one goal in mind: to seize the energy there. The Ing turned the machines of Sanctuary against our warriors, and soon all was lost. The energy of Sanctuary was taken by the Ing. Only one Energy Controller remained on Aether.",,Luminoth Lore,Conflict,Final Phase
Twilight,Sanctuary Fortress - Sanctuary Entrance (NTSC version)/Sanctuary Fortress - Watch Station (PAL/Trilogy version),"What few remained gathered in the Great Temple. There, all but U-Mos, the last Sentinel of Aether, entered into life-preserving stasis. There they remain, to be released once the Ing were destroyed...or to sleep forever. His people safe, U-Mos prepared for the last, terrible assault. In the silence of the Great Temple, he prayed for salvation, for deliverance from the terror of the Ing.",,Luminoth Lore,Conflict,Final Phase
A-Kul's Testament,Sky Temple Grounds - Sky Temple Gateway,"Soon I shall pass to the final rest. My key is in place. Through my spiritual link with to the others, I know where their bodies lie. I shall leave this knowledge, that their last location in the dark world can be known. May this knowledge lead our warriors to the Sky Temple Keys. The time draws near. Hear the words of A-Kul, she they call Champion of Aether. Know that my warriors fought and died with uncommon valor. Do not look unkindly upon their failure, for they died to save us all. ",,Luminoth Lore,Keybearer Lore,Cadre 1
J-Stl's Testament,Agon Wastes - Central Mining Station,"My journey comes to an end. The thrice-cursed Ing prepared an ambush of singular cunning in the mining station. They caught me in it like a neophyte fresh from the training halls. I have sent five score of their number to whatever foul pit they call afterlife, but in vain. My life is extinguished.",,Luminoth Lore,Keybearer Lore,Cadre 1
B-Stl's Testament,Agon Wastes - Main Reactor,"I can go no further. Here in this reactor, I go to join my mate, J-Stl, in final rest. Though I die with honor, a shame falls on my house until the key I seek reaches its destination. May my brothers find my burden, that the way to the Sky Temple will be opened at last.",,Luminoth Lore,Keybearer Lore,Cadre 1
S-Dly's Testament,Torvus Bog - Torvus Lagoon,"They came to the lagoon in the night, delivering true deathblows before I could detect them. As my life faded, I sent a call to the cadre to warn them of this surprise attack. May they find my key and dispatch the Ing who killed me. Only then will my final rest be peaceful.",,Luminoth Lore,Keybearer Lore,Cadre 1
G-Sch's Testament,Torvus Bog - Catacombs,"What craven savages are the Ing! Trapped in the catacombs with no chance of rescue, I fought them to the last. I watched them feed upon their dead. I heard them pressing the lesser of their number into the front ranks, that my blasts would take them. At least their leader stood against me in battle. He was a foe worthy of a Luminoth Warrior.",,Luminoth Lore,Keybearer Lore,Cadre 1
S-Jrs's Testament,Sanctuary Fortress - Sanctuary Entrance,"A-Kul tried to send me back to Aether, that I might get reinforcements. Both cadres have been attacked, devastated. The Ing followed me. They came, wearing the skin of beasts. I gave them a good fight, yet, I have failed. May I redeem my honor in the next life. Here, at the fortress entrance, I breathe my last.",,Luminoth Lore,Keybearer Lore,Cadre 2
C-Rch's Testament,Sanctuary Fortress - Dynamo Works,"Let this be the final testament of warrior C-Rch. I have no more shells for my weapons. For the enemy, I have naught but the blade and fist. Let them come. They wait in the works, hissing, and slithering like beasts. Let them. When my war cry comes, there will be a dread final reckoning. Come forth, hated enemy. Let there be an end!",,Luminoth Lore,Keybearer Lore,Cadre 2
D-Isl's Testament,Temple Grounds - Storage Cavern A,"It is inside me. I feel it spreading, clawing at my will, tearing at my thoughts. It moves me against my will, to this cavern. Here it will end. I do not wish this, do not want my body to become a weapon for the Ing within me. It hates. It demands obedience. I will fight to the end. I shall self-terminate before I will be a pawn of a filthy Ing.",,Luminoth Lore,Keybearer Lore,Cadre 2
M-Dhe's Testament,Temple Grounds - Landing Site,"The last hit breached my armor. The poison spreads. Though I have found the key, it is too late for me. Soon my light will fail. They know I am here. They will come to this site to plunder the key. My last stand shall be at the edge of the temple grounds. I only hope I have the strength to fight when they arrive.",,Luminoth Lore,Keybearer Lore,Cadre 2
J-Fme's Testament,Temple Grounds - Industrial Site,"Final entry, Warrior J-Fme. Their army swells. Beasts and rogue machines join the ranks of the Horde, all eager to bring death to the Luminoth. The Ing have sent these new additions to the industrial site to do battle with me, while they watched from safety. Cowardly mongrels! My only regret in death is that I did not live to see the day of their defeat. May it come soon!",,Luminoth Lore,Keybearer Lore,Cadre 2
J-Stl's Key,Sky Temple Grounds - Sky Temple Gateway,Noble J-Stl. Lost his soul before a fortress in the scorched land.,,Luminoth Lore,A-Kul's Clues,Cadre 1
B-Stl's Key,Sky Temple Grounds - Sky Temple Gateway,Gallant B-Stl. She lies deep in a fortress of dry land.,,Luminoth Lore,A-Kul's Clues,Cadre 1
S-Dly's Key,Sky Temple Grounds - Sky Temple Gateway,Brave S-Dly. Beside the marsh of a raining land she laid her body forever.,,Luminoth Lore,A-Kul's Clues,Cadre 1
G-Sch's Key,Sky Temple Grounds - Sky Temple Gateway,Gentle G-Sch. With a Bearerpod he sleeps in a flooded temple.,,Luminoth Lore,A-Kul's Clues,Cadre 1
S-Jrs's Key,Sky Temple Grounds - Sky Temple Gateway,"Loyal S-Jrs. He no longer breathes, looking down at the great bridge of a holy fortress.",,Luminoth Lore,A-Kul's Clues,Cadre 2
C-Rch's Key,Sky Temple Grounds - Sky Temple Gateway,"Judicious C-Rch. In a small corridor within the depths of a high fortress, he lies silently.",,Luminoth Lore,A-Kul's Clues,Cadre 2
D-Isl's Key,Sky Temple Grounds - Sky Temple Gateway,Steadfast D-Isl. Who shall disturb you among the trees of holy ground?,,Luminoth Lore,A-Kul's Clues,Cadre 2
M-Dhe's Key,Sky Temple Grounds - Sky Temple Gateway,Fearless M-Dhe. The one who shall move the pillar of holy ground will see your soulless body.,,Luminoth Lore,A-Kul's Clues,Cadre 2
J-Fme's Key,Sky Temple Grounds - Sky Temple Gateway,"Mighty J-Fme. In the last, what did you see? Was it one of our gates closing, sealing the scorched land from our holy ground?",,Luminoth Lore,A-Kul's Clues,Cadre 2
Log 04.468.1 (Phazon Operations),Agon Wastes - Command Center,"Science teams have discovered the presence of Phazon in the Dasha system four cycles ago. High command authorized the deployment of our team shortly thereafter. Our orders are to establish a base on planet Aether and evaluate local Phazon resources. Because this world lies on the periphery of Galactic Federation territory, we are following stealth protocols at the highest level. A cadre of elite commandos has been dispatched to provide security for our force as well. This operation is now under way.",,Space Pirate Logs,Cycle 4,
Log 04.885.3 (Local Conflict),Agon Wastes - Command Center,"Intelligence reports on the indigenous population of Aether are in error. This planet is not at peace, nor are the inhabitants docile. Evidence of a class 4 conflict is present here, though hostilities are at minimal level now. Our territory has suffered several raids by a strange type of shadowy creature. These raids have caused considerable damage, and we have requested more combat troops in response.",,Space Pirate Logs,Cycle 4,
Log 05.008.6 (Great Discoveries),Agon Wastes - Command Center,"A spatial anomaly has been found within our base. We believe this rift in space-time leads to a parallel dimension of some type, but have been unable to interact with it thus far. A strange artifact was found near the anomaly as well. It may be a weapon or generator of some kind: perhaps it is the key to accessing the anomaly. High Command is eager for reports on the relic. A new weapon for our arsenal is always welcome.",,Space Pirate Logs,Cycle 5,
Log 05.422.1 (Rift Portal),Agon Wastes - Command Center,"The Rift Portal has been opened. The artifact weapon, dubbed the ""Dark Beam"" by science team, provides energy needed to open the portal, although for a limited time. We've sent expeditions through the portal, and they have returned with incredible news. The portal leads to a parallel version of Aether. This ""Dark Aether"" has suffered a global calamity, turning it into a toxic wasteland. It is the homeworld of the shadowy creature who have been raiding our base for the last cycle. Most importantly, it is the prime location of Phazon in this sector. Extraction plans are being prepared. We will not be denied!",,Space Pirate Logs,Cycle 5,
Log 06.221.7 (Phazon Raids),Agon Wastes - Command Center,"Phazon extraction raids are under way on Dark Aether. The toxicity of the atmosphere has taken a toll on our workforce, as have the hostile natives of that world. Science Team is preparing survival gear to protect our work teams, and we have increased our security presence in extraction areas. Fortunately, High Command is sending more troops and supplies. Our troops and resources are spread dangerously thin, and this mission cannot fail.",,Space Pirate Logs,Cycle 6,
Log 06.362.2 (The Hunter),Agon Wastes - Biostorage Station,"Samus Aran, the accursed Hunter, has arrived. The sudden arrival of the Hunter is strange enough, but her actions are stranger still. She does not seek our destruction, but our Phazon. With each raid, she steals Phazon ore, only killing those who attempt to deny her. What she needs it for we do not know - though Science Team suspects she requires it to power her new armorsuit. Dark in color, it is equipped with strange new weapons. The troops now call her the ""Dark Hunter."" It is a fitting title.",,Space Pirate Logs,Cycle 6,
Log 06.713.5 (Security Breach),Agon Wastes - Save Station B,"The Dark Hunter teleports into the base at will. Our security has proven next to useless against her. Her latest raid was disastrous. Not only did we lose more Phazon to her, but she also crippled the stealth field generator with her strange new weapons. We are exposed. Until the replacement generator arrives, we will be vulnerable to scans and detection. Our presence here is still minimal: should the Federation find us, we will be unable to defend our position. Fortunately, Aether is on the fringe of Federation space. With luck, we will have a stealth field back in effect before being detected.",,Space Pirate Logs,Cycle 6,
Log 06.989.8 (Shadow War),Agon Wastes - Storage D,"The local war has escalated in intensity. The shadowlings from Dark Aether launched an offensive. The assault seems focused on a central network of buildings atop a mountain: a base, perhaps. Strangely, this attack coincides with a rise in planetary instability. Perhaps these shadow creatures are using a new weapon system. The shadowlings must believe us to be foes, for they have hit our base numerous times as well. We are holding, but this attrition is taking its toll on our troops and resources. Reinforcements are en route. We can only wait and defend what is ours.",,Space Pirate Logs,Cycle 6,
Log 07.013.6 (Federation Attack),Agon Wastes - Security Station B,"Another disaster. The transport bringing our reinforcements and supplies has been shot down. It was engaged in orbit by a federation vessel, which has landed near the alien temple. It's only a matter of time before the Marines attack. Survivors from our ship have made their way to our base. Here we shall make our stand. Another enemy. First the shadowlings, then the Dark Hunter, and now the Galactic Federation Marine Corps. Perhaps fate will smile upon us, before the world itself opens its maw and swallows us.",,Space Pirate Logs,Cycle 7,
Log 07.159.9 (Two Hunters),Agon Wastes - Central Mining Station,"Another hunter, wearing the traditional colors of Samus Aran, made planetfall today. Horrific as it may sound, there are two of them now. We are bracing for a new assault. This dire turn of events may bear some good will. One of our scouts in Dark Aether saw a curious encounter. The Dark Hunter attacked the one clad as Samus near a Phazon site. Perhaps they are not allies...but foes. Perhaps we can forge an alliance with the Dark Hunter - an exchange, Phazon for the head of our common enemy.",,Space Pirate Logs,Cycle 7,
LCPL J. Brode,Temple Grounds - GFMC Compound,"Man, I hope that is the only breeding ground for these things. If there's more, we're in big trouble. We had a hard enough time taking that one out of commission: I almost ran out of ammo. I never run out of ammo!",,Trooper Logs,Force One,
PFC I. Crany,Temple Grounds - GFMC Compound,"Last night at chow, Angseth starts talking about some bounty hunter and how she blew up a planet full of Space Pirates. I told her I didn't believe in fairy tales like that, and she took it personal. I just find it hard to believe that one person took out an entire Space Pirate base, that's all. But if she wants to believe in this Samus, or Bigfoot, or Santa Claus, she can.",,Trooper Logs,Force One,
CAPT A. Exeter,Temple Grounds - GFMC Compound,"I'm beginning to think it was a real bad idea going down there. Reevs is right, that hive is just one of many. It's stupid to stir a hornet's nest, especially if you plan on sleeping under it.",,Trooper Logs,Force One,
PFC G. Haley,Temple Grounds - GFMC Compound,I hear. Them. Everywhere. They're coming. Can't sleep. Ever. They'll eat me. Eat.,,Trooper Logs,Force One,
PFC S. Milligan,Temple Grounds - GFMC Compound,"Brouda lost the bet, so he switched watch duty with me. I figure this section is nice and safe and boring, which suits me just fine. Let those other pugs guard the hot zone, I...hold on...hey! Halt! ...No! Hel--(transmission ends)",,Trooper Logs,Force One,
SPC F. Triplette,Temple Grounds - GFMC Compound,"The sarge says those ""Splinters"" remind him of some killer bug he saw on another planet once. All I know is the things are fast and take a lot to drop. Pretty soon we'll have to go to bayonets. Everyone's low on ammo...even Brode, and he's the stingiest grunt I know.",,Trooper Logs,Force One,
SPC M. Angseth,Temple Grounds - Trooper Security Station,"This is ridiculous. I can outshoot half the men here, and I'm stuck on monitor duty. I didn't join up to stare at a holoscreen! This wouldn't happen to Samus Aran... She'd be out there take care of business, not pushing buttons and sending reports.",,Trooper Logs,Force Two,
GSGT C. Benet,Temple Grounds - Command Chamber,"There's something wrong with the lock systems in this section. They've failed twice, locking us out until someone came along to let us in. If it happens again while we're playing ""bait"" for those things...well, at least we'll go out fighting, instead of hiding in the control area.",,Trooper Logs,Force Two,
PFC L. Brouda,Temple Grounds - Communication Area,"We'll be making our stand here. The engineer tells me there's no way we'll get the ship's engines online, and atmospheric interference is scrambling our distress beacon. If anyone reads this, know that we did our duty and fought well.",,Trooper Logs,Force Two,
PFC E. Denys,Temple Grounds - Sacred Bridge,"I'm the only one left. Managed to get out of the hive, but when I got to the ship, everyone was gone...dead. I'm heading for that alien building we saw earlier. Maybe someone can help me there... Wait, something's moving down there. Hello...?",,Trooper Logs,Force Two,
SPC B. Reevs,Temple Grounds - Command Chamber,"I don't like this plan. This hive is a small portion of a larger network. There may be dozens of hive systems like this across the planet, and they may all be linked. Destroying this one may buy us time, but it may also provoke the other hives into attacking.",,Trooper Logs,Force Two,
PFC M. Veroni,Temple Grounds - Collapsed Tunnel,"I think Haley's losing it. He talks to himself all the time, and he won't sleep. He almost shot me on watch the other night. I think he thought I was one of those things. I talked to the doc about taking him off the line, and he told me we need all the help we can get. That's true, but if he goes berserk and kills a bunch of us, that won't be very helpful.",,Trooper Logs,Force Two,
